tmdb_id,genre_ids
400160,"10751,16,14,12,35"
26280,18
3529,"35,80,9648"
483983,"18,36,53"
284293,18
37903,"18,9648"
1859,"35,10749"
736069,"16,10752,878"
204553,"12,80,28,53"
13384,18
10604,18
586940,"16,18,14"
718930,"28,35,53"
613090,"35,18"
15097,35
4909,"28,53"
437586,"18,35"
327331,"18,10402,36,35"
18925,18
7549,"18,28"
2000,"12,18,36"
69,"18,10402,10749"
500664,"28,53,878"
383498,"28,35,12"
330459,"28,12,878"
3035,"18,27,878"
736073,"16,9648,28,80"
258480,"10749,18"
76758,"18,36,10752"
71883,"16,28,878"
2034,"28,80,18"
74879,"18,80"
16642,"18,10749"
9428,"35,18"
921785,"35,36,10402"
14919,"28,16,80,9648"
13377,"16,10751,35"
983,"12,18"
530,"16,35,10751,878"
780382,"10751,12,18"
484747,"18,35"
27632,27
10377,35
252,"10751,14,35"
377273,18
203833,18
11344,"28,18,80"
9665,"18,36,10752"
9081,"16,18,14"
145,"18,10749"
923,27
8342,"28,36,10752"
8321,"35,18,80"
1368,"28,12,53,10752"
475,"80,18"
407445,"18,10749"
43904,"10749,18,35"
39107,"16,28,14,878"
13528,"53,18,9648,80"
470878,"10402,18"
244088,18
22538,"28,35,10749"
40823,"35,18,10749,80"
11190,18
9075,"18,53,10752"
16328,"10752,18"
13353,"10751,16,10770,35"
12837,"10751,12,18"
11610,"35,10749"
3001,"35,80,10749"
697843,"28,53"
660000,"18,10749,36"
260513,"28,12,16,10751"
11798,"18,80"
874300,"16,35,10770"
203101,"35,16,12,27"
8740,"53,9648"
109,"35,18,9648"
38396,35
31682,"18,878,27"
15165,"16,10751,35"
9559,"18,80"
7500,"28,80,53"
940,"9648,53,35"
176241,"28,18,53"
27327,"10402,35,27"
345,"18,53,9648"
186,"18,53,80,9648"
24226,18
4689,"28,18,53"
440298,"18,10749,10752,10402"
293863,"10749,14,18"
11549,"27,878"
423108,"27,9648,53"
15919,"18,10749"
14736,"35,18,10749"
620,"35,14"
192,"18,53,9648"
821881,"18,36"
194662,"18,35"
24807,"35,18,10749"
13930,"16,10751,35"
11562,"35,18"
36685,"35,878,14,27"
12169,18
10683,"35,18"
626,14
219,"35,18,10749"
17809,28
9008,"18,53"
1023,"18,35,80"
14257,"35,36"
11841,"28,12"
2501,"28,18,9648,53"
196,"12,35,878"
11978,18
674324,"18,35"
529216,"53,18,9648,14"
251516,"28,35,878,14"
984,"28,80,53"
11016,"80,53"
10843,"35,53,18"
615,18
574,"53,9648"
876716,"16,35,10751,14"
638449,"18,10749"
877,"80,18,10749"
828,"18,878,53"
74643,"18,35,10749"
34106,"35,10749"
10747,37
346648,"12,35,10751"
165213,"53,80,18"
5503,"28,53,18"
382748,"35,18,10749,10751"
376290,"18,80"
37472,"28,36,18"
1251,"28,18,10752"
154,"28,12,878,53"
617653,"36,18,28"
239571,"18,10749"
18900,"80,18"
645886,"18,80"
375785,"35,18"
648,"18,14,10749"
290,"35,18"
175,"18,10749,12"
374720,"10752,28,18"
11471,"28,80,18"
10907,"12,10749,36"
363,"18,10749"
